type	latitude	longitude	altitude (m)	name	desc
T	-31.613165257	-64.915913308	1897.0		
T	-31.613171102	-64.915146388	1903.5		
T	-31.613009942	-64.914189728	1913.4		
T	-31.612850549	-64.913043585	1930.5		
T	-31.612690796	-64.912094275	1944.9		
T	-31.612530157	-64.911338762	1956.5		
T	-31.612369848	-64.910584773	1968.8		
T	-31.612209697	-64.909831533	1980.1		
T	-31.612046574	-64.909262074	1988.0		
T	-31.612051820	-64.908694324	1993.9		
